ldv,RiferimentoMittente,CittaMittente,CAPMittente,destinatario,cap,citta,provincia,RiferimentoDestinatario,colli,contrassegno,assicurazione,costo,OrderID,canale,bda,Data_spedizione,status,Data_consegna,Ultimo_aggiornamento,contenuto,note,LxLxH,tags
ECIT00000001,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 1,00100,ROMA,RM,,1,0.00,0.00,XX.XX,,,,2026-09-22 09:11:00,Consegnata,2026-09-22 09:11:00,2026-09-22 09:11:00,,,,
ECIT00000002,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 2,20100,MILANO,MI,,1,0.00,0.00,XX.XX,ORD-1001,,,2026-09-21 16:40:00,Consegnata,2026-09-21 16:40:00,2026-09-21 16:40:00,,,,
ECIT00000003,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 3,10100,TORINO,TO,,1,XX.XX,0.00,XX.XX,,,,2026-09-21 11:05:00,In Transito,,2026-09-21 11:05:00,,,,
ECIT00000004,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 4,40100,BOLOGNA,BO,,2,0.00,0.00,XX.XX,ORD-1003,,,2026-09-20 18:22:00,In Transito,,2026-09-20 18:22:00,,,,
ECIT00000005,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 5,50100,FIRENZE,FI,,1,XX.XX,0.00,XX.XX,,,,2026-09-19 10:30:00,Spedita,,2026-09-19 10:30:00,,,,
ECIT00000006,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 6,70100,BARI,BA,,1,0.00,0.00,XX.XX,ORD-1005,,,2026-09-18 15:12:00,Spedita,,2026-09-18 15:12:00,,,,
ECIT00000007,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 7,90100,PALERMO,PA,,3,0.00,0.00,XX.XX,,,,,In Lavorazione,,2026-09-17 09:48:00,,,,
ECIT00000008,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 8,16100,GENOVA,GE,,1,XX.XX,0.00,XX.XX,,,,2026-09-16 12:00:00,In Giacenza,,2026-09-16 12:00:00,,,,
ECIT00000009,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 9,30100,VENEZIA,VE,,1,0.00,0.00,XX.XX,ORD-1008,,,2026-09-15 17:35:00,Consegnata,2026-09-15 17:35:00,2026-09-15 17:35:00,,,,
ECIT00000010,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 10,09100,CAGLIARI,CA,,2,0.00,0.00,XX.XX,,,,,In Lavorazione,,2026-09-15 08:20:00,,,,
ECIT00000011,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 11,37100,VERONA,VR,,1,0.00,0.00,XX.XX,,,,2026-09-14 11:20:00,In Giacenza,,2026-09-14 11:20:00,,,,
ECIT00000012,SPEDIZIONI PRIME DEMO,NAPOLI,80100,DESTINATARIO DEMO 12,35100,PADOVA,PD,,1,XX.XX,0.00,XX.XX,ORD-1012,,,2026-09-12 16:05:00,In Giacenza,,2026-09-12 16:05:00,,,,
